@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
                       Wed Mar 11 20:55:50 EDT 2020 
Bash version 4.1.2(1)-release...

STAGE 1: STEP 10 This is just a simple banner to place in the log File!

                 Running Function #:  SNMPgetLoop_2       

@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
Domain Name =  1 : AMPM-VZB-DTM-1
Domain Name =  1 : AMPM-VZB-DTM-2
Domain Name =  1 : AMPM-VZB-DTM-3
Domain Name =  1 : AMPM-VZB-DTM-4
Domain Name =  1 : AMPM-VZB-DTM-5
Domain Name =  1 : AMPM-VZB-DTM-VOL-1
Domain Name =  1 : AMPM-VZB-DTM-VRR-1
Domain Name =  1 : AMPM-VZB-SYD-1
Domain Name =  1 : AMPM-VZB-SYD-VOL-1
Domain Name =  1 : AMPM-VZB-SYD-VRR-1
Domain Name =  1 : AMPM-VZB-VAL-CANE-1
Domain Name =  1 : AMPM-VZB-VAL-CANW-1
Domain Name =  1 : AMPM-VZB-VAL-LAMX-1
Domain Name =  1 : AMPM-VZB-VAL-USC-1
Domain Name =  1 : AMPM-VZB-VAL-USMA-1
Domain Name =  1 : AMPM-VZB-VAL-USMA-2
Domain Name =  1 : AMPM-VZB-VAL-USMP-1
Domain Name =  1 : AMPM-VZB-VAL-USNC-1
Domain Name =  1 : AMPM-VZB-VAL-USNE-1
Domain Name =  1 : AMPM-VZB-VAL-USNE-2
Domain Name =  1 : AMPM-VZB-VAL-USNW-1
Domain Name =  1 : AMPM-VZB-VAL-USSC-1
Domain Name =  1 : AMPM-VZB-VAL-USSE-1
Domain Name =  1 : AMPM-VZB-VAL-USSW-1
Domain Name =  1 : AMPM-VZB-VAL-VOL-1
Domain Name =  1 : AMPM-VZB-VAL-VRR-1
Domain Name =  1 : AMPM-VZT-VAL-GA-1
Domain Name =  1 : AMPM-VZT-VAL-IL-1
Domain Name =  1 : AMPM-VZT-VAL-MA-1
Domain Name =  1 : AMPM-VZT-VAL-MA-2
Domain Name =  1 : AMPM-VZT-VAL-MD-1
Domain Name =  1 : AMPM-VZT-VAL-NJ-1
Domain Name =  1 : AMPM-VZT-VAL-NJ-2
Domain Name =  1 : AMPM-VZT-VAL-NY-1
Domain Name =  1 : AMPM-VZT-VAL-NY-2
Domain Name =  1 : AMPM-VZT-VAL-NY-3
Domain Name =  1 : AMPM-VZT-VAL-NY-4
Domain Name =  1 : AMPM-VZT-VAL-PA-1
Domain Name =  1 : AMPM-VZT-VAL-PA-2
Domain Name =  1 : AMPM-VZT-VAL-VA-1
Domain Name =  1 : AMPM-VZT-VAL-VA-2
Domain Name =  1 : AMPM-VZT-VAL-VHO-1
